alignment	length	dmel_cpg	dsim_cpg	dyak_cpg
FBgn0037739-0.fa	350	0.39173702782616615	4.508162615207341	4.508162615207341
FBgn0036597-0.fa	328	1.0000007079394356e-06	1.312177443342557	1.312177443342557
FBgn0027945.fa	474	4.761130220237	49.99999999999999	49.99999999999999
FBgn0037606-1.fa	708	12.15151731401819	1.000002083718324e-06	1.000002083718324e-06
FBgn0037943-0.fa	308	0.711538453608772	0.9154269295677264	0.9154269295677264
FBgn0051741-1.fa	600	8.402993687791007	49.99999999976729	49.99999999976729
FBgn0038662-1.fa	478	0.7169282568246269	1.7084805381627532	1.7084805381627532
FBgn0028662-1.fa	338	1.0000000117314395e-06	1.000000141133112e-06	1.000000141133112e-06
FBgn0033812-0.fa	298	1.1100749578414255	1.0000000529248682e-06	1.0000000529248682e-06
FBgn0033101.fa	348	49.99999999738271	37.16419321127838	37.16419321127838
FBgn0033307-1.fa	302	1.0000025065913287e-06	1.5981692346330194	1.5981692346330194
FBgn0021906-1.fa	526	3.945813351797176	2.056618756022099	2.056618756022099
FBgn0053774.fa	322	0.2637183930138075	49.99999999933706	49.99999999933706
FBgn0037702-1.fa	692	8.622039753976997	0.9064459277377012	0.9064459277377012
FBgn0027493-1.fa	444	0.7931624221213187	1.6312823557557425	1.6312823557557425
FBgn0001308-0.fa	340	1.0000007988022597e-06	1.0000007975212033e-06	1.0000007975212033e-06
FBgn0031497-0.fa	344	49.99999999984856	1.000077643861793e-06	1.000077643861793e-06
FBgn0033500-0.fa	552	0.35079243288729556	0.696951724070482	0.696951724070482
FBgn0032042-1.fa	376	1.000001197169579e-06	1.0000006889669882e-06	1.0000006889669882e-06
FBgn0031478-0.fa	458	1.0552108900386063e-06	1.0000002946116145e-06	1.0000002946116145e-06
FBgn0033501-1.fa	352	0.8493344051255773	1.0000001913786757e-06	1.0000001913786757e-06
FBgn0032940-0.fa	292	1.0000138827462035e-06	5.132285942483834	5.132285942483834
FBgn0034694-1.fa	302	11.496854832374565	6.76120339501086	6.76120339501086
FBgn0032665.fa	326	0.5983060937565499	1.0000001987532315e-06	1.0000001987532315e-06
FBgn0036515-0.fa	308	49.999999999881176	1.0000214454927546e-06	1.0000214454927546e-06
FBgn0046114-1.fa	628	1.0000007905148468e-06	1.0000012522214867e-06	1.0000012522214867e-06
FBgn0264978-1.fa	374	0.8157107685657433	1.0000007223479434e-06	1.0000007223479434e-06
FBgn0015019-0.fa	440	1.000010177743878e-06	1.0571691101626055	1.0571691101626055
FBgn0029176-0.fa	360	1.0203552274165864e-06	2.1282604570086514	2.1282604570086514
FBgn0037492-0.fa	428	0.5212697438613298	1.1034596379147723	1.1034596379147723
FBgn0039875-0.fa	400	1.2676873968766604	0.7416514538344952	0.7416514538344952
FBgn0034590-0.fa	404	1.0001738787425437e-06	49.999999999219554	49.999999999219554
FBgn0043012-0.fa	332	0.5048728163925713	0.9289778015063698	0.9289778015063698
FBgn0005672-0.fa	384	1.0000029858793744e-06	1.0000003514025622e-06	1.0000003514025622e-06
FBgn0027580-0.fa	404	49.99999999839539	16.380384126943426	16.380384126943426
FBgn0037329-1.fa	438	0.5832656594311486	1.0003345794785092e-06	1.0003345794785092e-06
FBgn0034913-1.fa	408	4.846388245980791	15.785787137878586	15.785787137878586
FBgn0030403-1.fa	378	0.17827953613088154	1.0000001637987946e-06	1.0000001637987946e-06
FBgn0027095-0.fa	298	1.0000014212414513e-06	1.5584457746704041	1.5584457746704041
FBgn0000489-0.fa	474	1.0000008601547698e-06	1.0000008327211213e-06	1.0000008327211213e-06
FBgn0259178-1.fa	376	1.000000858758632e-06	0.4293815399596683	0.4293815399596683
FBgn0023540-1.fa	338	2.1650980304899496	1.0000065781526327e-06	1.0000065781526327e-06
FBgn0263606.fa	302	1.000000008738461e-06	1.0000000015797945e-06	1.0000000015797945e-06
FBgn0037980-0.fa	328	0.35991435694196106	2.2210923224139365	2.2210923224139365
FBgn0263602-1.fa	430	49.99999999965172	1.584347917298147	1.584347917298147
FBgn0051347-0.fa	354	2.140633582670606	3.362933465837053	3.362933465837053
