alignment	length	pval	dmel_cpg	dsim_cpg	dyak_cpg	dmel_len	dsim_len
FBgn0037739-0.fa	350	0.052893461485368824	0.851774800640291	3.9395720028068966	3.9395720028068966	0.09836771746311165	0.09454105743037348
FBgn0036597-0.fa	328	0.33570254869075417	1.0000003405404933e-06	1.3120247421474487	1.3120247421474487	0.019573933918508882	0.006633806437697583
FBgn0027945.fa	474	0.06763933880621383	4.750490693836414	49.99999999986197	49.99999999986197	0.8439638500517692	1.5483120058524362
FBgn0037606-1.fa	708	0.17140337649568016	12.108738732066836	1.0000187553507402e-06	1.0000187553507402e-06	0.029926733943517546	0.03483340273713629
FBgn0037943-0.fa	308	0.8020277439975227	0.7115405290911605	0.9156722369255337	0.9156722369255337	0.7067092068186404	1.000000921693068e-06
FBgn0051741-1.fa	600	0.1644349649988494	8.404063323558542	49.999999999735515	49.999999999735515	0.024188836000350336	0.006780288954100732
FBgn0038662-1.fa	478	0.4307230957840583	0.7169281109412214	1.7084827280625263	1.7084827280625263	0.5631753372903662	0.5419958165666997
FBgn0028662-1.fa	338	0.9999023822763499	1.0000001592864284e-06	1.000000403482533e-06	1.000000403482533e-06	0.0710459540081184	0.0771378726208224
FBgn0033812-0.fa	298	0.3746681364670993	1.1095379964358945	1.000000074075231e-06	1.000000074075231e-06	1.7009544752612995	0.13626235093288136
FBgn0033101.fa	348	0.7182919715576113	49.9999999928151	37.15846141899819	37.15846141899819	0.07213409995733996	0.041636834771019295
FBgn0033307-1.fa	302	0.601650623534403	1.0000082080529799e-06	1.5986581430114368	1.5986581430114368	1.000000679413854e-06	0.026545468896705535
FBgn0021906-1.fa	526	0.3407271990862352	3.9471925687054683	2.056596850936159	2.056596850936159	0.7244190276864537	1.9006562425514841
FBgn0053774.fa	322	0.24809123700001276	0.4110640732979638	0.8481161421626554	0.8481161421626554	49.99999999988072	1.7566838922970287
FBgn0037702-1.fa	692	0.01976491603943333	8.614742767828409	0.9457025451822121	0.9457025451822121	1.5134366681490456	1.3751583450524423
FBgn0027493-1.fa	444	0.6978364818681968	0.7931630406567165	1.6312857217109937	1.6312857217109937	0.09846633688863259	0.06536779320348977
FBgn0001308-0.fa	340	0.9999633086829738	1.0000000240180522e-06	1.000000291836827e-06	1.000000291836827e-06	0.011861453455333789	0.01767958343967461
FBgn0031497-0.fa	344	0.5937106951178348	49.999999999793474	1.0000473011486125e-06	1.0000473011486125e-06	0.041454001958451635	0.059232970417775734
FBgn0033500-0.fa	552	0.8984483265479586	0.35101213567849054	0.6968287269982171	0.6968287269982171	1.000005828070242e-06	0.02971475337665618
FBgn0032042-1.fa	376	0.9997614809907338	1.0000021755782873e-06	1.0000001872751272e-06	1.0000001872751272e-06	0.09342701626880302	0.04177272989535426
FBgn0031478-0.fa	458	0.9988079852046803	1.0323001840724021e-06	1.000000420708073e-06	1.000000420708073e-06	1.000000010212036e-06	0.035256053810641654
FBgn0033501-1.fa	352	0.848621598115286	0.8496270804716884	1.0000001019945749e-06	1.0000001019945749e-06	0.0348443183151771	0.06614862543038742
FBgn0032940-0.fa	292	0.5310093960208379	1.0000008870130971e-06	5.1322883026779635	5.1322883026779635	0.10111675046965556	0.32626043494171014
FBgn0034694-1.fa	302	0.690694897335	11.497960847392743	6.761705090409898	6.761705090409898	0.816252036317216	1.1774501216477
FBgn0032665.fa	326	0.20370985842021688	0.5982846002364173	1.0000000820033661e-06	1.0000000820033661e-06	0.12585483043695206	1.000009438509309e-06
FBgn0036515-0.fa	308	0.2811939687379141	49.99999999983648	1.0000012575315623e-06	1.0000012575315623e-06	1.000000577432158e-06	5.196128436051814
FBgn0046114-1.fa	628	0.8254823621795064	1.875688636094834	1.5450329182903482	1.5450329182903482	0.04614259435121262	0.025185549720289253
FBgn0264978-1.fa	374	0.6591518603157791	0.8157100814948859	1.0000008682893453e-06	1.0000008682893453e-06	0.10353321880363839	0.07655586889488668
FBgn0015019-0.fa	440	0.3077159923446483	1.0000038164290057e-06	1.0571719607512065	1.0571719607512065	0.0546880378652756	0.04794958165031699
FBgn0029176-0.fa	360	0.9975529844658224	1.5940336446716977e-06	2.128633768718039	2.128633768718039	1.0000075112282258e-06	0.14073502638429888
FBgn0037492-0.fa	428	0.6854971319600627	0.5206940106612433	1.103142000094456	1.103142000094456	1.108772844581931	0.9986799455760281
FBgn0039875-0.fa	400	0.7186047850306252	1.3164620730662295	0.7424644793919949	0.7424644793919949	0.039738287831749035	4.8803809390257324
FBgn0034590-0.fa	404	0.48352163283613314	1.0001789200985372e-06	49.99999998425282	49.99999998425282	0.022436589312104717	0.017316294982014837
FBgn0043012-0.fa	332	0.7213012095819666	0.5047741716964446	0.9289122233775358	0.9289122233775358	0.07202892395406232	0.018362947601905134
FBgn0005672-0.fa	384	0.9992496287589476	1.0000003227581183e-06	1.000000382448758e-06	1.000000382448758e-06	0.6464610040210664	0.5977423488815737
FBgn0027580-0.fa	404	0.5443801578395664	49.999999997686466	16.394112694036757	16.394112694036757	49.99737611960055	1.0000000000037635e-06
FBgn0037329-1.fa	438	0.3804782133550615	0.5832338171485268	1.0009567717639183e-06	1.0009567717639183e-06	0.04758627282233015	0.0842748756294117
FBgn0034913-1.fa	408	0.28768558668641236	4.84654929318115	15.786279984075877	15.786279984075877	1.0000000127582169e-06	0.08611730447701463
FBgn0030403-1.fa	378	0.8330487542268968	0.1784794587041011	1.0000011327686547e-06	1.0000011327686547e-06	0.35741567710202915	0.6314213392108449
FBgn0027095-0.fa	298	0.1122107216632312	1.000003400676971e-06	1.558440894926281	1.558440894926281	0.07439954770490392	0.04722297621568586
FBgn0000489-0.fa	474	0.9999976546808437	1.0000012108268699e-06	1.0000022684038286e-06	1.0000022684038286e-06	0.3363490239805781	0.5184050286789067
FBgn0259178-1.fa	376	0.25650166491354803	1.0000002954449624e-06	0.42938249509444637	0.42938249509444637	1.0000020059446615e-06	0.03847760069970496
FBgn0023540-1.fa	338	0.296893742089862	2.1648050279338467	1.0000003877888278e-06	1.0000003877888278e-06	0.04361223843578385	0.006201323389103507
FBgn0263606.fa	302	0.9996138886981757	1.0000000852967622e-06	1.0000000141376073e-06	1.0000000141376073e-06	0.06978285029465321	0.035376079077205275
FBgn0037980-0.fa	328	0.29607437702500533	0.3595713507265891	2.220203512612168	2.220203512612168	49.99982483669507	1.0000106122587632e-06
FBgn0263602-1.fa	430	0.11889288123099392	49.99999999999999	1.5842286865287472	1.5842286865287472	0.03571867548845112	0.04559976063367832
FBgn0051347-0.fa	354	0.45682316207625406	2.1043341005319767	3.340010941118819	3.340010941118819	1.0000022414536327e-06	0.07542399942831407
FBgn0034401-1.fa	358	0.9994707287276138	1.0000007177108086e-06	1.0000003706663882e-06	1.0000003706663882e-06	0.07871041227616794	0.03332422122615625
FBgn0032886-1.fa	464	0.888162506439224	4.097952195320446	1.911248812242952	1.911248812242952	0.1447350104385509	0.3826508747171103
FBgn0035772-1.fa	726	0.8019740644681983	1.668781926966326	1.3280049481425336	1.3280049481425336	0.20599424635621025	0.20174018930339413
FBgn0039402-0.fa	350	0.9999007747777536	1.0000022998187729e-06	1.0000005587340052e-06	1.0000005587340052e-06	0.04036349063215769	0.054629597211787076
FBgn0000715-1.fa	390	0.9995828818239418	1.000000120925894e-06	1.0000000080284033e-06	1.0000000080284033e-06	0.0622869825884399	0.007295491313866534
FBgn0037670-0.fa	312	0.3822614475529844	0.539628762594079	3.0335460179085914	3.0335460179085914	0.056167274379251675	0.1271689194951252
FBgn0029913.fa	328	0.8422228191055467	0.3143021880528071	1.000004447919169e-06	1.000004447919169e-06	0.8629160410766414	0.09497242813969856
FBgn0259876-0.fa	354	0.4631555747759426	1.0000000282607689e-06	0.42879877226727664	0.42879877226727664	0.170072002929639	0.18931298749043812
FBgn0259749-0.fa	314	0.5289465230460924	1.8177267687844725	1.0000012441412398e-06	1.0000012441412398e-06	0.03795871437199156	0.04157094996869115
FBgn0034271-0.fa	300	0.5959017039137897	1.144364510826188	1.00000053516014e-06	1.00000053516014e-06	0.06642508457870705	0.04586235157658309
FBgn0026666-1.fa	330	0.4291563652124205	1.000000449055177e-06	0.9292587364794127	0.9292587364794127	0.03688811311127907	0.03155941310348187
FBgn0033672-0.fa	300	0.7336532330637081	2.0717311626655475	1.0000089864513378e-06	1.0000089864513378e-06	0.11812518714184474	0.0467833385094235
FBgn0010611-1.fa	446	0.675823477357208	1.7638935621882847	1.000001492232535e-06	1.000001492232535e-06	0.048825286121653905	0.04233271316158337
FBgn0033449-0.fa	300	0.9999922494200435	1.0000002147757709e-06	1.0000000446998844e-06	1.0000000446998844e-06	0.059560090559498916	0.07157809529588835
FBgn0031377-1.fa	322	0.999529188793538	1.0000008483697636e-06	1.0000001554709465e-06	1.0000001554709465e-06	0.026245571902578823	0.03439438502568452
FBgn0015828-0.fa	370	0.9831257705990935	13.139842802195624	13.528593257028223	13.528593257028223	0.7746931071728622	1.0906953400436272
FBgn0035025.fa	328	0.5864912265699693	49.999999998784546	16.653037753066673	16.653037753066673	16.101905707483574	0.550658405982844
FBgn0033428.fa	360	0.569429023403196	2.4349777355139635	1.5243301827028326	1.5243301827028326	0.3063593649858652	0.3978932941782768
FBgn0011305-1.fa	312	0.9311101811679754	0.5649356422254671	0.6291568460464281	0.6291568460464281	1.6879482598010334	1.4119769224863965
FBgn0003011-1.fa	378	0.2261891886546679	1.0000012337126337e-06	1.5812386586169027	1.5812386586169027	0.09277355985397442	0.006697379460187888
FBgn0025335-0.fa	300	0.9221810473176648	2.00907258111321	1.830834795441451	1.830834795441451	0.5382408740953574	0.5574231863089486
FBgn0036372-0.fa	518	0.9996761210824361	1.0000118068526797e-06	1.0000564244288448e-06	1.0000564244288448e-06	0.02742483422449025	0.01798397645695455
FBgn0036688-0.fa	596	0.5326675666401777	2.694715290461939	0.965571393535581	0.965571393535581	0.02955250211790754	0.0434367908361823
FBgn0037963-0.fa	722	0.8087698587612289	30.511146066905035	3.4113693630257704	3.4113693630257704	1.0000069052933812e-06	0.38497522913152227
FBgn0002791-0.fa	312	0.4974373860047664	2.441617030975882	1.6899965721619745	1.6899965721619745	0.4290154961851401	0.3326468672980253
FBgn0288846-0.fa	332	0.6032823448584105	2.8156988489119716	1.000002991501724e-06	1.000002991501724e-06	0.0622246026563968	0.044394175007866146
FBgn0284235-1.fa	452	0.9999933555341721	1.0000001197968948e-06	1.0000004233699572e-06	1.0000004233699572e-06	0.02752664124511554	0.008709265166503314
FBgn0031041.fa	474	0.36041026756036165	1.2812602656193892	0.021852613353483923	0.021852613353483923	0.7794465648197583	0.7786753637475704
FBgn0035909-0.fa	330	0.6623316865558613	2.9045802768851634	5.7620348836174795	5.7620348836174795	0.047288932880146524	0.043433554889516765
FBgn0037488-0.fa	364	0.5516816092596251	1.182912834389431	1.9156872795092406	1.9156872795092406	1.0000034825224473e-06	0.04382591418628733
FBgn0051961-0.fa	368	0.7072654905964411	1.0000030167391996e-06	1.0382861033532595	1.0382861033532595	0.07983077498059234	0.06879476495860934
FBgn0015582-1.fa	362	0.9997090159767169	1.0000001104234423e-06	1.000000389074106e-06	1.000000389074106e-06	0.0785731555525424	0.06646597516528842
FBgn0047334-0.fa	354	0.7409613491006204	1.812010136966346	2.4637583597726587	2.4637583597726587	0.09351333248123318	1.0000000083256784e-06
